,Card Name,Card Set,Card Purchase Price,Card Current Price
466,Aminatou's Augury,Commander 2018,$2.39,3.45
467,Archaeomancer,2014 Core Set,$0.31,0.29
468,Cut of the Profits ,Promotional,$0.39,0.10
469,Dimir Signet,Ravnica,$1.19,0.58
470,Essence Flux,Shadows Over Innistrad,$1.83,1.67
471,Fabricate,Mirrodin,$5.19,0.11
472,High Market,Commander 2015,$2.79,2.87
473,Metallurgic Summonings,Kaladesh,$2.23,1.71
474,Plague Wind,Prophecy,$2.39,2.09
475,Ruthless Knave,Ixalan,$0.00,0.25
476,Army of the Damned,Innistrad,$0.99,0.39
477,Breach the Multiverse,March of the Machine,$0.49,2.49
478,Clone Legion,Streets of New Capenna Commander Decks,$1.79,0.98
479,Feign Death,Adventures in the Forgotten Realms,$2.29,1.79
480,Ghoulcaller Gisa,Commander Collection,$2.99,2.27
481,Meldweb Curator,Phyrexia,$0.35,0.02
482,Necromantic Selection,Commander 2014,$0.49,0.22
483,Nim Deathmantle,Double Masters 2022,$3.99,3.15
484,Saw It Coming,Kaldheim,$0.35,0.23
485,See Double,March of the Machine,$2.49,1.50
486,Talisman of Dominance ,Universes Beyond,$1.79,2.06
487,Teferi's Time Twist,War of the Spark,$0.39,0.18
488,Treasure Cruise,Time Spiral Remastered,$2.99,0.25
489,Undying Malice,Innistrad,$1.29,0.40
490,Alchemist's Refuge,Avacyn Restored,$3.99,2.71
491,Circle of Dreams Druid,Adventures in the Forgotten Realms,$7.99,4.59
492,Irenicus's Vile Duplication,Commander Legends,$5.99,2.67
493,Castle Garenbrig,Throne of Eldraine Foil,$4.79,4.87
494,Growing Rites of Itlimoc,Ixalan,$21.24,19.80
495,Harvest Season,Amonkhet,$1.59,1.25
496,Llanowar Tribe,Modern Horizons,$0.55,0.47
497,Amphin Mutineer,Commander Legends,$0.99,0.55
498,Avenger of Zendikar,Streets of New Capenna Commander Decks,$3.99,4.07
499,Biowaste Blob,Commander Legends,$0.35,0.20
500,Combine Chrysalis,Modern Horizons 2,$0.25,0.07
501,Cultivate,Streets of New Capenna Commander Decks,$0.99,0.53
502,Curious Herd,Commander 2020,$0.25,0.24
503,Deep Forest Hermit,Modern Horizons,$2.29,2.15
504,Double Major ,Strixhaven,$2.79,2.07
505,Eternal Witness,Double Masters 2022,$1.49,2.19
506,"Ezuri, Claw of Progress",Double Masters 2022,$3.49,1.99
507,Growth Spasm,Innistrad,$0.25,0.14
508,Hinterland Harbor,Innistrad,$7.49,2.66
509,Junk Winder,Modern Horizons 2,$0.25,0.14
510,"Koma, Cosmos Serpent",Kaldheim,$8.99,9.11
511,Littjara Mirrorlake,Kaldheim,$0.25,0.08
512,Mechtitan Core,Kamigawa,$0.25,0.22
513,Mystic Reflection,Kaldheim Foil,$1.49,0.57
514,Pest Infestation,Commander 2021,$7.99,6.56
515,Pongify,Commander 2014,$4.49,2.58
516,Quasiduplicate,Guilds of Ravnica,$1.79,1.65
517,Rejuvenating Springs,Commander Legends,$9.49,9.70
518,Resculpt,Strixhaven,$0.39,0.29
519,Sakura-Tribe Elder,Commander 2019,$1.49,1.47
520,Scute Swarm ,Zendikar Rising Variants,$4.49,4.31
521,Second Harvest,Shadows Over Innistrad,$7.49,5.84
522,Specimen Collector,Modern Horizons 2,$0.25,0.01
523,Sublime Epiphany ,Promo Pack Foil,$4.99,3.36
524,Three Visits,Commander Legends Foil,$5.99,7.11
525,Timeless Witness,Modern Horizons 2,$0.59,0.25
526,Tireless Provisioner,Modern Horizons 2,$2.29,1.79
527,Biovisionary,Gatecrash,$0.28,0.72
528,Cackling Counterpart,Innistrad,$1.19,0.98
529,Esika's Chariot ,Kaldheim Variants Foil,$4.79,8.86
530,Farseek,Ravnica,$2.39,0.98
531,Khalni Garden,Worldwake,$0.55,0.36
532,Myr Battlesphere,Duel Decks,$0.39,0.15
533,Progenitor Mimic,Dragon's Maze,$1.99,1.94
534,Risen Reef,Core Set 2020,$2.23,1.10
535,Sharding Sphinx,Shards of Alara,$0.31,0.13
536,Spawning Bed,Battle for Zendikar,$0.31,0.22
537,Supplant Form,Fate Reforged,$0.47,0.47
538,Druid's Deliverance,Return to Ravnica,$0.18,0.16
539,Saheeli's Artistry,Kaladesh,$0.25,0.14
540,Dark Ritual,Masters 25,$1.03,1.63
541,Idyllic Tutor,Morningtide,$8.79,5.08
542,"Jegantha, the Wellspring ",Promo Pack,$3.99,0.98
543,Kodama's Reach,Commander 2021,$1.99,1.69
544,"Selvala, Explorer Returned",Streets of New Capenna Commander Decks,$0.35,0.18
545,"Zirda, the Dawnwaker ",Promo Pack,$1.79,0.92
546,Tower of the Magistrate,Mercadian Masques,$16.89,15.24
547,Aether Gale,Commander Legends,$0.35,0.35
548,"Alela, Artful Provocateur",Streets of New Capenna Commander Decks,$0.79,0.28
549,Backdraft Hellkite,Double Masters 2022,$0.35,0.54
550,Blur,Commander Legends,$0.25,0.15
551,Clone,3rd Edition,$0.79,0.32
552,Cultivate ,Strixhaven Mystical Archive,$1.29,0.53
553,Decanter of Endless Water,Commander Legends,$0.59,1.97
554,Draconic Muralists,Commander Legends,$0.25,0.19
555,Dragon Turtle,Adventures in the Forgotten Realms,$0.25,0.25
556,Dragonlord's Servant,Adventures in the Forgotten Realms Commander Decks,$0.39,0.44
557,Growth Spiral ,Strixhaven Mystical Archive,$2.99,0.37
558,Jade Orb of Dragonkind,Commander Legends,$0.25,0.18
559,"Korlessa, Scale Singer",Commander Legends,$0.25,0.19
560,Krosan Grip,Strixhaven Mystical Archive,$1.79,0.69
561,"Lozhan, Dragons' Legacy",Commander Legends,$0.25,0.14
562,Molten Echoes,Commander 2020,$2.99,1.96
563,"Niv-Mizzet, the Firemind",Commander 2020,$0.49,0.49
564,Phantasmal Image,Adventures in the Forgotten Realms Commander Decks,$4.49,3.78
565,"Ryusei, the Falling Star",Commander Legends,$0.69,0.37
566,Temple of Abandon,Kamigawa,$0.49,0.13
567,Temple of Epiphany,Core Set 2020,$0.35,0.13
568,"Atarka, World Render ",Promotional,$0.28,0.78
569,Dragon's Hoard,Core Set 2019,$1.19,0.50
570,Garruk's Uprising,Core Set 2021,$0.79,3.84
571,Ghostly Flicker,Avacyn Restored,$1.59,2.58
572,"Niv-Mizzet, Parun",Commander Legends,$2.39,1.93
573,Scourge of Valkas,Commander 2017,$1.59,1.45
574,Temple of Mystery,Theros,$0.39,0.18
575,Temple of the Dragon Queen,Adventures in the Forgotten Realms,$0.23,0.24
576,Temur Ascendancy,Khans of Tarkir,$1.99,5.13
577,Dragonspeaker Shaman,Scourge,$1.74,1.62
578,"Niv-Mizzet, Dracogenius",Return to Ravnica,$0.90,0.95
579,Skyline Despot,Conspiracy - Take the Crown,$1.25,2.18
580,Thought Vessel,Commander 2015,$2.79,3.51
581,Avenger of Zendikar ,Secret Lair,$32.99,4.07
582,Consuming Tide ,Innistrad,$1.49,0.41
583,Dreamroot Cascade ,Innistrad,$10.99,6.18
584,Field of the Dead,Core Set 2020,$25.99,22.15
585,Roil Elemental ,Secret Lair,$15.99,7.74
586,Skyshroud Claim,Nemesis,$4.99,3.79
587,"Yavimaya, Cradle of Growth ",Modern Horizons 2 Variants,$14.99,9.10
588,Chasm Skulker,2015 Core Set,$0.55,0.26
589,Mystic Sanctuary,Throne of Eldraine,$1.43,1.64
590,Altar of the Brood,Khans of Tarkir,$7.49,7.84
591,Conjurer's Closet ,Promotional,$11.99,9.95
592,"Mondrak, Glory Dominus ",Phyrexia,$29.99,24.85
593,Panharmonicon ,Double Masters 2022 Variants Foil,$7.99,5.77
594,"Preston, the Vanisher",Jumpstart 2022,$16.99,15.41
595,Rise of the Dark Realms ,Secret Lair,$25.99,15.86
